"Link","Photo Url","Price","Name","City"
"https://www.facebook.com/marketplace/np/item/1247982272870792/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/455339521_10225385199118064_8630040190657177882_n.jpg?stp=c160.0.641.641a_dst-jpg_s261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=454cf4&_nc_ohc=YG52Ny1Er1cQ7kNvgEfBodX&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYCanaTtTBz0iuLlXWI_t3R1kUB7MmXDyl5Xb_1Kia1_Lw&oe=678767BB","299 000 лв.","Тристаен апартамент на ул.Хан Аспарух","София, България"
"https://www.facebook.com/marketplace/np/item/1497638897598615/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t45.5328-4/472792504_575226312330011_958020056789083949_n.jpg?stp=c84.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_ohc=sqciroybgO0Q7kNvgFPSrHX&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYBSlA-ZFk7aX06RlyVwHe6_P158O5pFtHUmWWZ-l0BNDQ&oe=67874899","114 990 лв.","📢 ПРОСТОРЕН !!! 🏢 10 МИН ОТ МЕТРОСТАНЦИЯ !!! 🚉 ДОБРИ ОБЩИ ЧАСТИ !!! 🧼","София, България"
"https://www.facebook.com/marketplace/np/item/1761054041345572/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/472578792_10221827165988359_7320255723673955393_n.jpg?stp=c0.162.1365.1365a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=t5YEvRaK5uQQ7kNvgHA2HyF&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYAsZr1Vhq-0ZGl_st3A6KenWpVflYa6y4oUh-013thQlA&oe=67875B1D","325 000 лв.","Тристаен апартамент в района на ""Орлов мост""","София, България"
"https://www.facebook.com/marketplace/np/item/915162960592892/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/472560479_1238971104067738_7219899229770555956_n.jpg?stp=c106.0.646.646a_dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=J-EOMIjaIogQ7kNvgF1z4dn&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYCqw8f0jwAjAUcoALaGZSoHbwZr2e8yjvkkZ45fJKrElg&oe=67876328","189 000 лв.","Продавам етаж от къща в разширен център на гр. Перник кв. Клепало ул. Самоков. На  500м от площада.","Pernik, Bulgaria"
"https://www.facebook.com/marketplace/np/item/1112770536881237/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/472921698_973854691261557_3270583541136738098_n.jpg?stp=c125.0.750.750a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=PfIDFgwquFAQ7kNvgE2hGSc&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYAWn4fpkpXdAmHbntEo9x3w0tM_r39kZwvxl8F6S6xdsQ&oe=678772FA","59 900 лв.","Къща с двор 2500кв с. Луково","София, България"
"https://www.facebook.com/marketplace/np/item/2579185102271492/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/473111708_1169177331204723_7250577240877785731_n.jpg?stp=c0.96.864.864a_dst-jpg_s261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=sy5GI56e3fMQ7kNvgGRDoUQ&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYCC7QPHU7aQ1caJPoD2yAEQfbQQ6Lq6qbbqkt_lQ9EwIA&oe=67875C0B","15 000 лв.","Парцел с къща","Kocherinovo"
"https://www.facebook.com/marketplace/np/item/1092639729308671/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/470184923_9272693762816665_5869723797866606355_n.jpg?stp=c0.8.937.937a_dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=wwLnFlYl5eAQ7kNvgHegagL&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYBsF-5q2Jhff1jssAWSPx25jfdKsKt7AJ_AyFyrKIZ44w&oe=678748B1","795 000 лв.","Банкя","София, България"
"https://www.facebook.com/marketplace/np/item/1155394532813323/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t45.5328-4/473212485_1499222290747570_3124914811514121861_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=rqukNZMzW30Q7kNvgF8ck4g&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYBYpV1XRrUmEZim7cjB6tYRGWqMKmWgJe-qyeT-oLKGFw&oe=67875F78","33 000 лв.","Къща в с. Струпец, 16500€","София, България"
"https://www.facebook.com/marketplace/np/item/1008370044383360/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/472864181_9915836961766902_6177616113137232737_n.jpg?stp=c533.0.934.934a_dst-jpg_s261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=5O83BkRS82QQ7kNvgEs_59Y&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYCuED5QYPVYY7TUAV7IBjxaN_Tf1mRdNrFhx3BFWgJ_NA&oe=678769A4","1 000 000 лв.","Страхотна къща в Делтахил ! Тихо и спокойно място до гората създаващо неповторима връзка с природата","Pernik, Bulgaria"
"https://www.facebook.com/marketplace/np/item/2380429818964857/?location_id=sofia&radius=250&ref=category_feed&referral_code=undefined&__tn__=!%3AD","https://scontent.fsof4-1.fna.fbcdn.net/v/t39.30808-6/467520158_1762722684547042_3107962858142216859_n.jpg?stp=c0.79.720.720a_dst-jpg_s261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=454cf4&_nc_ohc=xNfyUXuKD-sQ7kNvgED9VvP&_nc_zt=23&_nc_ht=scontent.fsof4-1.fna&_nc_gid=AvFZ-Tfm-tdZR8RFZht4TQy&oh=00_AYBPPJET3wU3DTkHRQrOdemts3bQPVm8DrRnjQcVaAXh2g&oe=6787573F","45 000 лв.","Спешно ! Къща в село Добролево- Враца ! Двор 2340кв.м. Застроена площ 105 кв.м.
Тел: [hidden information]","Vratza"
